isbn;title;author;year;publisher;imageurl;price;stock
195153448;Classical Mythology;Mark P. O. Morford;2002;Oxford University Press;http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg;180;33
2005018;Clara Callan;Richard Bruce Wright;2001;HarperFlamingo Canada;http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg;39;31
60973129;Decision in Normandy;Carlo D'Este;1991;HarperPerennial;http://images.amazon.com/images/P/0060973129.01.LZZZZZZZ.jpg;123;0
374157065;Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It;Gina Bari Kolata;1999;Farrar Straus Giroux;http://images.amazon.com/images/P/0374157065.01.LZZZZZZZ.jpg;67;15
393045218;The Mummies of Urumchi;E. J. W. Barber;1999;"W. W. Norton &amp; Company";http://images.amazon.com/images/P/0393045218.01.LZZZZZZZ.jpg;120;36
399135782;The Kitchen God's Wife;Amy Tan;1991;Putnam Pub Group;http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg;66;36
425176428;What If?: The World's Foremost Military Historians Imagine What Might Have Been;Robert Cowley;2000;Berkley Publishing Group;http://images.amazon.com/images/P/0425176428.01.LZZZZZZZ.jpg;148;2
671870432;PLEADING GUILTY;Scott Turow;1993;Audioworks;http://images.amazon.com/images/P/0671870432.01.LZZZZZZZ.jpg;70;5
679425608;Under the Black Flag: The Romance and the Reality of Life Among the Pirates;David Cordingly;1996;Random House;http://images.amazon.com/images/P/0679425608.01.LZZZZZZZ.jpg;114;32
074322678X;Where You'll Find Me: And Other Stories;Ann Beattie;2002;Scribner;http://images.amazon.com/images/P/074322678X.01.LZZZZZZZ.jpg;33;34
771074670;Nights Below Station Street;David Adams Richards;1988;Emblem Editions;http://images.amazon.com/images/P/0771074670.01.LZZZZZZZ.jpg;169;6
080652121X;Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust;Adam Lebor;2000;Citadel Press;http://images.amazon.com/images/P/080652121X.01.LZZZZZZZ.jpg;169;21
887841740;The Middle Stories;Sheila Heti;2004;House of Anansi Press;http://images.amazon.com/images/P/0887841740.01.LZZZZZZZ.jpg;191;3
1552041778;Jane Doe;R. J. Kaiser;1999;Mira Books;http://images.amazon.com/images/P/1552041778.01.LZZZZZZZ.jpg;181;0
